symbolName,carouselNum,panText,panSubText,slide3_title,slide3_hw,slide4_para,slide5_title,voiceover_script,boostWords
Nsoromma,01,Guess?,Akan Symbols,What does this mean?,mean,"Nsoromma means ""child of the heavens"" or ""star."" It represents God's watchful presence and protection over all beings.",Nsoromma,I am Nsoromma. I watch even when you feel alone. Lift your eyes and remember you are guided.,"guidance,protection,watchful,faith"
Aya,02,Guess?,Akan Symbols,What does this mean?,mean,"Aya means ""fern."" It represents endurance, independence, and the strength to survive in difficult conditions.",Aya,I am Aya. I grow where softer things give up. Stand firm and endure.,"endurance,resilience,strength,survive"
Duafe,03,Guess?,Akan Symbols,What does this mean?,mean,"Duafe means ""wooden comb."" It represents beauty, cleanliness, and self-care.",Duafe,I am Duafe. I shape what is seen before a word is spoken. Care is how you show who you are.,"care,dignity,beauty,self-respect"
Gye Nyame,04,Guess?,Akan Symbols,What does this mean?,mean,"Gye Nyame means ""except for God."" It expresses the absolute supremacy and omnipotence of God above all things.",Gye Nyame,I am Gye Nyame. Before everything there was God. After everything there is still God. Begin and end there.,"God,supremacy,faith,omnipotence"
Sankofa,05,Guess?,Akan Symbols,What does this mean?,mean,"Sankofa means ""go back and get it."" It is the wisdom of learning from the past to build wisely for the future.",Sankofa,I am Sankofa. I face back so I can move forward. Nothing you have lived is wasted if you look at it honestly.,"past,wisdom,ancestry,learning"
Adinkrahene,06,Guess?,Akan Symbols,What does this mean?,mean,"Adinkrahene means ""king of the Adinkra symbols."" It represents greatness, charisma, and the qualities of true leadership.",Adinkrahene,I am Adinkrahene. I set the pattern that others follow. Lead with intention and all things find their shape.,"leadership,authority,charisma,greatness"
Dwennimmen,07,Guess?,Akan Symbols,What does this mean?,mean,"Dwennimmen means ""ram's horns."" It represents strength of mind and body paired with humility — the willingness to bow even when you could charge.",Dwennimmen,I am Dwennimmen. I can break what stands against me. I choose not to. That is the deeper strength.,"humility,strength,wisdom,learning"
Akoma,08,Guess?,Akan Symbols,What does this mean?,mean,"Akoma means ""heart."" It is a symbol of love, patience, faithfulness, and the willingness to endure what love requires.",Akoma,I am Akoma. Love is not the feeling. It is the staying. It is the choosing again.,"love,patience,faithfulness,endurance"
Nyansapo,09,Guess?,Akan Symbols,What does this mean?,mean,"Nyansapo means ""wisdom knot."" It represents the deep intelligence of someone who knows how to choose the right path toward a goal.",Nyansapo,I am Nyansapo. There are many ways to a thing. Wisdom is not the knowing — it is the choosing well.,"wisdom,ingenuity,intelligence,patience"
Funtumfunefu Denkyemfunefu,10,Guess?,Akan Symbols,What does this mean?,mean,"Funtumfunefu Denkyemfunefu means ""conjoined crocodiles."" They share one stomach but fight over food — a symbol of unity in diversity and shared destiny.",Funtumfunefu Denkyemfunefu,I am Funtumfunefu. We share the same body and we fight over the same meal. Our only way forward is together.,"unity,diversity,community,sharing"
Eban,11,Guess?,Akan Symbols,What does this mean?,mean,"Eban means ""fence."" A fenced home is a protected home. It represents safety, love, and the shelter we build for the people we care about.",Eban,I am Eban. A fence is not a barrier. It is love made into a boundary. I protect what I hold dear.,"love,safety,security,home"
Nkyinkyim,12,Guess?,Akan Symbols,What does this mean?,mean,"Nkyinkyim means ""twisting."" Life is not a straight road. This symbol honors the adaptability and dynamism needed to thrive through its turns.",Nkyinkyim,I am Nkyinkyim. The road bends. I bend with it. Rigidity breaks. Versatility endures.,"adaptability,dynamism,versatility,initiative"
Fawohodie,13,Guess?,Akan Symbols,What does this mean?,mean,"Fawohodie means ""independence."" From the proverb: freedom walks with suffering. True freedom carries the weight of responsibility.",Fawohodie,I am Fawohodie. I was not handed this. I earned it. And I carry what it costs.,"freedom,independence,emancipation,self-determination"
Ananse Ntontan,14,Guess?,Akan Symbols,What does this mean?,mean,"Ananse Ntontan means ""spider's web."" It is the web of Ananse — the great trickster spider of African folklore — representing wisdom, creativity, and the complexity of life.",Ananse Ntontan,I am Ananse Ntontan. Every thread connects to every other. Nothing is simple. Everything is web.,"wisdom,creativity,complexity,craftiness"
Odo Nnyew Fie Kwan,15,Guess?,Akan Symbols,What does this mean?,mean,"Odo Nnyew Fie Kwan means ""love never loses its way home."" Those who are guided by love always arrive where they need to be.",Odo Nnyew Fie Kwan,I am Odo Nnyew Fie Kwan. No matter how far you go, love knows the way back. Follow it.,"love,guidance,belonging,return"
Denkyem,16,Guess?,Akan Symbols,What does this mean?,mean,"Denkyem means ""crocodile."" The crocodile breathes air yet lives in water — a symbol of adaptability and cleverness in any environment.",Denkyem,I am Denkyem. I belong to two worlds at once. I have learned to move in both without losing myself.,"adaptability,cleverness,versatility,survival"
